0,処女

10,臆病
11,反抗的
12,気丈
13,素直
14,大人しい
15,プライド高い
16,生意気
17,プライド低い

20,自制心
21,無関心
22,感情乏しい
23,好奇心
24,保守的
25,楽観的
26,悲観的
27,一線越えない
28,目立ちたがり

30,貞操観念
31,貞操無頓着
32,抑圧
33,解放
34,抵抗
35,恥じらい
36,恥薄い

40,痛みに弱い
41,痛みに強い
42,濡れやすい
43,濡れにくい
44,薬毒耐性
45,骨の身体

50,習得早い
51,習得遅い
52,舌使い

60,自慰しやすい
61,汚臭鈍感
62,汚臭敏感
63,献身的

70,快感に素直
71,快感の否定
72,中毒しやすい
73,即落ち

80,倒錯的
81,両刀
82,男嫌い
83,サド
84,嫉妬
85,恋慕
86,妄信
87,小悪魔
88,常に睡眠
89,烙印

90,媚薬入手経路
91,魅惑
92,動物
93,狐
94,ローション入手経路
95,ケモ耳
96,猫舌
97,針さばき
98,暗闇

100,小柄体形
101,Ｃ鈍感
102,Ｃ敏感
103,Ｖ鈍感
104,Ｖ敏感
105,Ａ鈍感
106,Ａ敏感

110,巨乳
111,回復早い
112,回復遅い
113,魅力

120,不思議な根
121,ふたなり
122,オトコ

130,淫壺
131,淫菊
132,淫乳
133,淫躰
134,淫手
135,淫核
136,魔壺
137,魔菊

140,オナホ

150,発情Lv1
151,発情Lv2
152,発情Lv3

155,生理重い
156,生理軽い

998,Debug(Master)

200,難調教

201,[ミクサ]
202,[リン]
203,おもちゃ箱
204,うそなき！
205,乙女の時
206,[アシェ]
207,茨姫
208,[スカレ]
209,[ヴァイス]
210,花鳥風月
211,[ツクヨミ]
212,癒しの唄
213,[メロウ]
214,[エピーヌ]

233,[吉備津彦]
234,[闇吉備津]
235,[ピーター]
236,[ナイキ]
237,[フック]
238,[デスフック]
239,[猿]
240,[大聖]
241,[温羅]

265,抵抗の炎
267,不思議の国
269,永遠の乙女
274,[かぐや様]
276,[シレネ様]

666,[拒絶刻印]

900,強陰茎